#OTU ID	EF1.G	EF1.G.3	EF1.L	EF1.R	EF5	HD1.BB.01	HD1.BB.02	HD1.BB.03	HD1.BB.04	HD1.BB.FFC	HD1.BestMix.01	HD1.BestMix.01.PBSr	HD1.BestMix.02	HD1.BestMix.03	HD1.BestMix.04	HD1.BHI.01	HD1.BHI.01.PBSr	HD1.BHI.02	HD1.BHI.03	HD1.BHI.04	HD1.BHI.FFC	HD1.BT.01	HD1.BT.01.PBSr	HD1.BT.02	HD1.BT.03	HD1.BT.04	HD1.BT.FFC	HD1.Feces	HD1.GAM.01	HD1.GAM.01.PBSr	HD1.GAM.02	HD1.GAM.03	HD1.GAM.04	HD1.GMM.01	HD1.GMM.01.PBSr	HD1.GMM.02	HD1.GMM.03	HD1.GMM.04	HD1.GMM.FFC	HD1.LB.01	HD1.LB.01.PBSr	HD1.LB.02	HD1.LB.03	HD1.LB.04	HD1.LB.FFC	HD1.Liver.01	HD1.Liver.01.PBSr	HD1.Liver.02	HD1.Liver.03	HD1.Liver.04	HD1.M17.01	HD1.M17.01.PSBr	HD1.M17.02	HD1.M17.03	HD1.M17.04	HD1.Meat.01	HD1.Meat.01.PBSr	HD1.Meat.02	HD1.Meat.03	HD1.Meat.04	HD1.Meat.FFC	HD1.MRS.01	HD1.MRS.01.PBSr	HD1.MRS.02	HD1.MRS.03	HD1.MRS.04	HD1.MRS.FFC	HD1.RCM.01	HD1.RCM.02	HD1.RCM.03	HD1.RCM.04	HD1.RCM.FFC	HD1.TB.01	HD1.TB.01.PBSr	HD1.TB.02	HD1.TB.03	HD1.TB.04	HD1.TB.FFC	HD1.TYG.01	HD1.TYG.01.PBSr	HD1.TYG.02	HD1.TYG.03	HD1.TYG.04	HD1.TYG.FFC	Neg	PBSc.GST
401649c79d24645cc358f5dc5b7bfa7f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7f4bb10215a53b77f9f9cbe970c5ab2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fa8e65710fead3d07feef61cdcbd1363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e78ecb138a8bee2a728274b849db12c1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0b4aeb45916a24fd10e3655fe6481966	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	15
addb207a9f839bcd31d8378bdc9e5fdc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
780876f4ea1674d9c3fdf73a0c6346bb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
714bfa9c67904d111a40104050d71c86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
afc13220e60109f1dccfd5603913b90b	0	55	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6482fff1008eebf65a1f72a1ec423794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
c8d691276da54624c649a41bf45c67c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d801398915f0c42c955a0a85af77bbc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2c79c63cbe2431fb26273878631cf564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22b3c70cdfb1714224e1bf8a6314bee9	0	0	0	0	0	0	0	0	3	0	0	0	0	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	33	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a14a59cae7d01ca7d4c960fd1e6d9f5c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4bfedc0e9de9bed36f6c448669465526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3c0d4ee2744f207b17f4df79b0a77f36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30ad0c470dafd00d789ef673d290ba2c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
